year,image_count,NDVI,MNDWI,NDBI
1989.0,3,0.27092057435775657,-0.33003621692280893,-0.01495864758294697
1990.0,9,0.2220313752359585,-0.32662205499909264,0.020759625520891604
1991.0,7,0.24137632344416413,-0.33788682569058065,0.03158679275118566
1992.0,9,0.21031804870268045,-0.28855835912182043,0.007741040803892895
1993.0,12,0.25418396507386454,-0.32041908158630256,-0.007724211246116066
1994.0,12,0.3042547659116614,-0.36350170919070773,0.0017930663506152435
1995.0,5,0.2974049629303638,-0.34827146234863976,-0.01575345934582656
1996.0,12,0.28945413511959384,-0.3288167124996852,-0.02132659607396718
1997.0,8,0.3726472580535483,-0.37486217123044885,-0.049436406297195055
1998.0,15,0.2866703450079793,-0.35831337871632196,0.003373397464507677
1999.0,10,0.26408692163066333,-0.3379494839811679,0.008608520538041106
2000.0,8,0.30932685296818846,-0.3693104658865857,-0.021011612971588975
2001.0,10,0.22409313766293712,-0.35236744418045884,0.030730300356776454
2002.0,7,0.3020011492714924,-0.37021949680117616,-0.008805231171149936
2003.0,6,0.2577360457739853,-0.34765497937452927,0.004655301182428718
2004.0,11,0.32883043740598505,-0.36274868596782167,-0.02906461875611036
2005.0,9,0.25780917086337407,-0.34767774648744515,0.01113952713697603
2006.0,13,0.29311587602935096,-0.3583174296576409,-0.01447419810801786
2007.0,15,0.2673121585166108,-0.3462129155902274,0.015024449705896514
2008.0,24,0.2888133308491338,-0.3267268649852475,-0.02709655997158375
2009.0,27,0.23837071338592022,-0.3161227236863834,0.010537597030509226
2010.0,16,0.26536783473565734,-0.34680643944304007,0.009935197377417554
2011.0,13,0.2659812460049036,-0.35015032035593685,0.016121669885577936
2012.0,14,0.24659517796267177,-0.33238730574597036,0.003302594716990277
2013.0,29,0.27997117090424256,-0.3380166681053302,-0.012937718360403472
2014.0,38,0.29568822097812125,-0.34064515484862035,-0.010078767624044178
2015.0,39,0.3335403719178641,-0.35271239284488803,-0.030415559015994128
2016.0,37,0.2982301286191368,-0.34765581925310984,-0.018615266469262686
2017.0,39,0.2829816878182429,-0.34591966357315307,-0.021000306840678672
2018.0,38,0.3156806058185427,-0.3583127874398129,-0.01937069260317062
2019.0,37,0.2736516475594578,-0.3262809503038847,-0.0158905754422001
2020.0,38,0.356498239946395,-0.35328760977975215,-0.05025431588787168
2021.0,38,0.33986630256807726,-0.33196688905015653,-0.03875004279406722
2022.0,59,0.33608314872570544,-0.34033930093937176,-0.038548573835385624
2023.0,63,0.33765407385736396,-0.32514053109099006,-0.05380529587918072
2024.0,38,0.3126358735570636,-0.3378098242850494,-0.014391862677605725
2025.0,34,0.3106296237240876,-0.3457671756014753,-0.017696781576319286
